user	SystemUser	用户管理	{"en-US": "Users", "ja-JP": "ユーザー管理", "ko-KR": "사용자 관리", "zh-CN": "用户管理", "zh-TW": "用戶管理"}
role	SystemRole	角色管理	{"en-US": "Roles", "ja-JP": "ロール管理", "ko-KR": "역할 관리", "zh-CN": "角色管理", "zh-TW": "角色管理"}
NULL	NULL	新增用户	{"en-US": "Add User", "ja-JP": "ユーザー追加", "ko-KR": "사용자 추가", "zh-CN": "新增用户", "zh-TW": "新增用戶"}
NULL	NULL	新增角色	{"en-US": "Add Role", "ja-JP": "ロール追加", "ko-KR": "역할 추가", "zh-CN": "新增角色", "zh-TW": "新增角色"}
NULL	NULL	新增模块	{"en-US": "Add Module", "ja-JP": "モジュール追加", "ko-KR": "모듈 추가", "zh-CN": "新增模块", "zh-TW": "新增模塊"}
NULL	NULL	新增菜单	{"en-US": "Add Menu", "ja-JP": "メニュー追加", "ko-KR": "메뉴 추가", "zh-CN": "新增菜单", "zh-TW": "新增選單"}
NULL	NULL	新增部门	{"en-US": "Add Department", "ja-JP": "部門追加", "ko-KR": "부서 추가", "zh-CN": "新增部门", "zh-TW": "新增部門"}
NULL	NULL	新增职位	{"en-US": "Add Position", "ja-JP": "職位追加", "ko-KR": "직위 추가", "zh-CN": "新增职位", "zh-TW": "新增職位"}
dashboard	SystemDashboard	系统管理主页	{"en-US": "Dashboard", "ja-JP": "ダッシュボード", "ko-KR": "대시보드", "zh-CN": "系统管理主页", "zh-TW": "系統管理主頁"}
NULL	NULL	查看导出配置	{"en-US": "View Export Config", "ja-JP": "エクスポート設定表示", "ko-KR": "내보내기 설정 보기", "zh-CN": "查看导出配置", "zh-TW": "查看匯出設定"}
NULL	NULL	查看导入配置	{"en-US": "View Import Config", "ja-JP": "インポート設定表示", "ko-KR": "가져오기 설정 보기", "zh-CN": "查看导入配置", "zh-TW": "查看匯入設定"}
NULL	NULL	新增字典	{"en-US": "Add Dictionary", "ja-JP": "辞書追加", "ko-KR": "사전 추가", "zh-CN": "新增字典", "zh-TW": "新增字典"}
NULL	NULL	新增字典类型	{"en-US": "Add Dict Type", "ja-JP": "辞書タイプ追加", "ko-KR": "사전 유형 추가", "zh-CN": "新增字典类型", "zh-TW": "新增字典類型"}
NULL	NULL	新增表格配置	{"en-US": "Add Table Config", "ja-JP": "テーブル設定追加", "ko-KR": "테이블 설정 추가", "zh-CN": "新增表格配置", "zh-TW": "新增表格設定"}
NULL	NULL	删除登录日志	{"en-US": "Delete Login Log", "ja-JP": "ログインログ削除", "ko-KR": "로그인 로그 삭제", "zh-CN": "删除登录日志", "zh-TW": "刪除登錄日誌"}
NULL	NULL	踢下线	{"en-US": "Kick Offline", "ja-JP": "オフラインキック", "ko-KR": "오프라인 강제 종료", "zh-CN": "踢下线", "zh-TW": "踢下線"}
NULL	NULL	新增租户	{"en-US": "Add Tenant", "ja-JP": "テナント追加", "ko-KR": "테넌트 추가", "zh-CN": "新增租户", "zh-TW": "新增租戶"}
config	SystemConfig	系统配置	{"en-US": "System Config", "ja-JP": "システム設定", "ko-KR": "시스템 설정", "zh-CN": "系统配置", "zh-TW": "系統設定"}
view	NULL	查看配置	{"en-US": "View Config", "ja-JP": "設定表示", "ko-KR": "설정 보기", "zh-CN": "查看配置", "zh-TW": "查看設定"}
